2020-09-23 20:03:01,884 - 2 - INFO - 页面"ThunderSoft Flash to HTML5 Converter下载-ThunderSoft Flash to HTML5 Converter免费版-QQ下载站"跳转正常,该类元素共165个，当前第58个
2020-09-23 20:03:08,034 - 2 - INFO - 页面"Telnet工具下载-Telnet工具官方版-QQ下载站"跳转正常,该类元素共165个，当前第59个
2020-09-23 20:03:14,204 - 2 - INFO - 页面"SysTools MSG Converter(MSG格式转换器)下载-SysTools MSG Converter(MSG格式转换器)免费版-QQ下载站"跳转正常,该类元素共165个，当前第60个
2020-09-23 20:03:20,390 - 2 - INFO - 页面"Skp文件版本转换器下载-Skp文件版本转换器免费版-QQ下载站"跳转正常,该类元素共165个，当前第61个
2020-09-23 20:03:26,510 - 2 - INFO - 页面"Replace C4DSTR(C4D插件汉化工具)下载-Replace C4DSTR(C4D插件汉化工具)官方版-QQ下载站"跳转正常,该类元素共165个，当前第62个
2020-09-23 20:03:32,671 - 2 - INFO - 页面"oofile办公软件(局域网文件传输软件)下载-oofile办公软件(局域网文件传输软件)官方版-QQ下载站"跳转正常,该类元素共165个，当前第63个
2020-09-23 20:03:38,802 - 2 - INFO - 页面"ODA File Converter(cad转低版本软件)下载-ODA File Converter(cad转低版本软件)免费版-QQ下载站"跳转正常,该类元素共165个，当前第64个
2020-09-23 20:03:44,963 - 2 - INFO - 页面"Kindle Create(亚马逊电子书制作工具)下载-Kindle Create(亚马逊电子书制作工具)官方版-QQ下载站"跳转正常,该类元素共165个，当前第65个
2020-09-23 20:03:51,108 - 2 - INFO - 页面"JsonToSqlite(Json转Sqlite工具)下载-JsonToSqlite(Json转Sqlite工具)官方版-QQ下载站"跳转正常,该类元素共165个，当前第66个
2020-09-23 20:03:57,257 - 2 - INFO - 页面"思域模拟器最新版下载_思域模拟器安卓版下载_QQ下载站"跳转正常,该类元素共165个，当前第67个
